"","BEGIN_DAY","BEGIN_TIME","END_DAY","END_TIME","STATE","MONTH_NAME","EVENT_TYPE","INJURIES","DEATHS","DAMAGE_PROPERTY","DAMAGE_CROPS","MAGNITUDE"
"1",6,1509,6,1509,"30","4","42","No","No","Low","Low",52
"2",6,930,6,940,"9","4","43","Yes","No","Low","Low",0
"3",5,1749,5,1753,"35","4","42","No","No","Low","Low",50
"4",16,1759,16,1900,"35","4","15","No","No","Low","Low",0
"5",15,1550,15,1550,"27","4","19","No","No","Low","Low",1.5
"6",3,1212,3,1212,"10","4","42","No","No","Low","Low",55
"7",29,915,29,1115,"14","4","14","No","No","Low","Low",0
"8",21,1915,21,1915,"46","4","42","No","No","Low","Low",50
"9",22,1015,22,1015,"51","10","34","No","No","Low","Low",42
"10",29,945,29,1145,"35","4","14","No","No","Low","Low",0
"11",3,1308,3,1308,"10","4","42","No","No","Low","Low",50
"12",15,1855,15,1855,"27","4","42","No","No","Low","Low",52
"13",3,1248,3,1248,"10","4","42","No","No","Low","Low",55
"14",26,757,26,757,"4","4","19","No","No","Low","Low",1
"15",21,1520,21,1520,"36","10","19","No","No","Low","Low",1.75
"16",24,224,24,224,"51","10","33","No","No","Low","Low",43
"17",24,336,24,336,"51","10","31","No","No","Low","Low",58
"18",10,800,10,1600,"38","3","49","No","No","Low","Low",0
"19",10,800,10,1600,"38","3","49","No","No","Low","Low",0
"20",10,800,10,1600,"38","3","49","No","No","Low","Low",0
"21",24,1600,25,600,"49","2","49","No","No","Low","Low",0
"22",24,1700,25,600,"49","2","49","No","No","Low","Low",0
"23",6,1525,6,1525,"51","6","34","No","No","Low","Low",35
"24",6,1535,6,1540,"9","6","42","No","No","Low","Low",45
"25",7,812,7,812,"51","6","34","No","No","Low","Low",34
"26",7,922,7,922,"51","6","34","No","No","Low","Low",44
"27",20,2120,20,2120,"26","6","19","No","No","Low","Low",0.75
"28",20,2016,20,2016,"26","6","19","No","No","Low","Low",0.88
"29",20,1900,20,1900,"26","6","42","No","No","Low","Low",61
"30",24,1700,25,600,"49","2","49","No","No","Low","Low",0
"31",24,1900,25,600,"49","2","49","No","No","Low","Low",0
"32",24,1900,25,600,"49","2","49","No","No","Low","Low",0
"33",24,1900,25,600,"49","2","49","No","No","Low","Low",0
"34",4,902,4,907,"51","6","46","No","No","Low","Low",0
"35",4,1105,4,1112,"51","6","46","No","No","Low","Low",0
"36",6,1435,6,1435,"51","6","34","No","No","Low","Low",41
"37",10,800,10,1600,"38","3","49","No","No","Low","Low",0
"38",24,0,25,600,"49","2","49","No","No","Low","Low",0
"39",7,830,7,830,"51","6","34","No","No","Low","Low",37
"40",7,1125,7,1125,"51","6","34","No","No","Low","Low",50
"41",7,1117,7,1117,"51","6","34","No","No","Low","Low",47
"42",7,1221,7,1221,"51","6","34","No","No","Low","Low",39
"43",11,1530,11,1530,"9","6","42","No","No","Low","Low",40
"44",11,1715,11,1715,"51","6","34","No","No","Low","Low",36
"45",14,1455,14,1455,"51","6","34","No","No","Low","Low",43
"46",6,1230,6,1315,"9","6","14","No","No","Low","Low",0
"47",7,1555,7,1715,"9","6","14","No","No","Low","Low",0
"48",7,1615,7,1715,"9","6","14","No","No","Low","Low",0
"49",21,900,21,1100,"9","6","14","No","No","Low","Low",0
"50",21,915,21,1145,"9","6","14","No","No","Low","Low",0
"51",22,500,23,500,"9","6","15","No","No","Low","Low",0
"52",22,500,23,500,"9","6","15","No","No","Low","Low",0
"53",23,1142,23,1142,"25","6","42","No","No","Low","Low",60
"54",23,1126,23,1126,"25","6","42","No","No","Low","Low",51
"55",17,420,17,420,"16","6","19","No","No","Low","Low",0.88
"56",17,513,17,513,"16","6","19","No","No","Low","Low",0.88
"57",17,432,17,432,"16","6","42","No","No","Low","Low",52
"58",17,430,17,430,"16","6","42","No","No","Low","Low",52
"59",17,416,17,416,"16","6","42","No","No","Low","Low",52
"60",17,539,17,539,"16","6","19","No","No","Low","Low",0.75
"61",23,1225,23,1225,"25","6","42","No","No","Low","Low",52
"62",23,1210,23,1210,"25","6","42","No","No","Low","Low",52
"63",23,1220,23,1220,"25","6","42","No","No","Low","Low",52
"64",23,1202,23,1202,"25","6","42","No","No","Low","Low",52
"65",23,1310,23,1310,"25","6","42","No","No","Low","Low",52
"66",23,1130,23,1130,"25","6","21","No","No","Low","Low",0
"67",23,1149,23,1149,"25","6","21","No","No","Low","Low",0
"68",1,1815,1,1915,"25","6","14","No","No","Low","Low",0
"69",1,1900,1,2000,"25","6","14","No","No","Low","Low",0
"70",1,1816,1,1816,"25","6","19","No","No","Low","Low",1
"71",22,500,23,500,"9","6","15","No","No","Low","Low",0
"72",22,500,23,500,"9","6","15","No","No","Low","Low",0
"73",8,958,8,958,"51","6","34","No","No","Low","Low",34
"74",8,1114,8,1114,"51","6","34","No","No","Low","Low",40
"75",8,1330,8,1330,"51","6","34","No","No","Low","Low",39
"76",23,1232,23,1232,"25","6","29","No","No","Low","Low",0
"77",23,1130,23,1130,"25","6","42","No","No","Low","Low",52
"78",23,1129,23,1129,"25","6","42","No","No","Low","Low",52
